Al2O3 (% e.p.);Fe2O3 (% e.p.);MnO (% e.p.);MgO (% e.p.);Cao (% e.p.);Na2O (% e.p.);K2O (% e.p.);TiO2 (% e.p.);P2O5 (% e.p.);Cr2O3 (% e.p.);Sc (ppm);V (ppm);Co (ppm);Ni (ppm);Cu (ppm);Zn (ppm);Ga (ppm);Sr (ppm);Ba (ppm);Roca
5.49;10.25;0.188;18.55;10.13;0.38;0.2;0.278;0.01;0.146145;59;203;62;120;130;60;7;38;25;UM
17.93;8.8;0.15;10.28;13.04;0.71;0.09;0.187;0.01;0.02192175;39;148;47;40;60;60;14;168;18;M
20.1;7.4;0.125;8.24;13.52;0.77;0.11;0.156;0.01;0.0116916;32;128;40;40;60;60;15;216;15;M
14.95;11.25;0.184;10.11;10.19;0.89;0.35;0.309;0.03;0.0730725;38;318;32;120;50;80;15;162;52;M
17.56;8.84;0.149;10.6;10.6;0.68;0.1;0.187;0.02;0.02484465;34;140;51;30;60;60;14;185;27;M
17.73;9.58;0.164;11.33;11.63;0.64;0.13;0.162;0.01;0.03945915;43;146;51;90;100;70;14;185;31;M
5.3;13.84;0.218;23.23;3.87;0.26;0.1;0.242;0.01;0.1607595;48;196;117;290;250;80;7;23;9;UM
18.82;8.59;0.138;11.1;10.76;0.63;0.09;0.151;0.01;0.03945915;31;118;55;140;160;50;14;173;22;M
15.91;9.4;0.15;11.1;12.38;0.85;0.2;0.284;0.01;0.03945915;46;183;49;70;100;50;12;172;18;M
20.12;10.71;0.157;10.61;10.00;0.63;0.14;0.242;0.03;0.011277825945735;27;149;51;37;38;87;20;209;49;M
18.71;8.65;0.139;10.41;12.31;0.64;0.09;0.316;0.01;0.01504598931273;42;160;46;52;56;55;15;192;19;M
17.73;9.26;0.146;12.3;9.7;0.54;0.06;0.114;0.01;0.0204603;29;115;74;40;90;50;14;187;13;M
13.76;10;0.171;13.64;11.53;0.43;0.08;0.253;0.01;0.1023015;54;190;71;130;120;50;14;131;30;M
14.34;13.48;0.211;7.12;11.59;1.5;0.42;1.253;0.12;0.0116916;52;393;51;70;50;90;20;151;181;M
21.39;8.3;0.131;8.77;10.73;0.73;0.06;0.136;0.02;0.01607595;24;100;46;30;50;60;17;234;29;M
17.82;10.38;0.165;10.57;9.69;0.63;0.06;0.262;0.02;0.0233832;27;129;55;30;50;70;15;193;26;M
4.78;13.28;0.212;16.6;6.53;0.37;0.19;0.396;0.02;0.12422325;70;309;64;110;100;90;8;16;17;UM
19.67;7.96;0.135;9.27;12.94;0.73;0.13;0.271;0.01;0.0087687;39;158;42;50;70;50;15;169;13;M
4.99;14.27;0.231;21.63;5.34;0.36;0.13;0.29;0.02;0.20898735;55;219;86;500;260;90;8;25;50;UM
6.69;14.22;0.23;20.14;5.70;0.30;0.10;0.28;0.01;0.192;49;191;120.3;1021;507;77;7.9;40.0;18;UM
4.50;13.12;0.24;23.10;3.77;0.22;0.08;0.24;0.01;0.276;44;168;71.8;435;73;84;6.1;22.6;12;UM
2.46;12.32;0.23;25.87;2.61;0.11;0.03;0.18;0.01;0.300;35;128;85.1;718;56;83;4.0;6.0;9;UM
5.77;12.35;0.22;19.24;6.81;0.38;0.17;0.28;0.01;0.209;58;212;98.6;479;426;83;7.7;19.8;52;UM
2.86;14.76;0.27;25.45;1.52;0.10;0.03;0.18;0.01;0.266;34;145;70.5;210;76;109;5.3;12.7;20;UM
2.34;12.04;0.255;24.88;1.64;0.11;0.03;0.172;0.01;0.3185961;37;146;95;600;90;80;5;3;27;UM
4.7;12.99;0.235;22.21;4.34;0.29;0.09;0.244;0.01;0.2601381;51;217;64;340;160;70;7;11;8;UM
5.46;12.3;0.25;21.9;6.13;0.28;0.09;0.17;0.01;0.248300355;36;156;129.6;222;101;11;7;48.74;111.87;UM
22.74;7.06;0.11;7.8;12.98;0.73;0.13;0.2;0.01;0.004822785;32;122;37.4;17;67;3;18;206.09;27.11;M
16.98;10.94;0.187;7.19;11.99;1.09;0.26;0.868;0.17;0.01023015;38;323;31;20;20;100;18;279;50;M
18.87;7.94;0.141;10.52;11.72;0.75;0.13;0.248;0.02;0.01899885;30;147;43;30;30;50;16;255;44;M
18.58;12.15;0.192;7.15;12.13;0.99;0.33;1.157;0.22;0.0087687;46;401;36;20;20;100;22;302;54;M
18.69;12.05;0.21;7.1;12.25;0.99;0.17;1.742;0.27;0.00730725;48;397;27;20;10;110;22;306;44;M
17.87;10.9;0.177;8.56;11.64;0.91;0.22;0.907;0.08;0.0175374;37;448;39;30;20;90;17;249;62;M
19.11;7.65;0.141;8.01;12.9;1.1;0.22;0.636;0.1;0.0087687;35;220;27;20;20;60;19;278;111;M
